Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Efficiency,Minutes played,Successful attacking actions per 90,Non-penalty goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Classification
C. Conn-Clarke,Peterborough United,Peterborough United,AMF,23,0,2027-06-30,19,994,1,2.20,0.454545455,994,5.16,0.09,2.81,38.71,3.226,0
S. Kaikai,Cambridge United,Cambridge United,"CF, RWF, RAMF",29,250000,2025-06-30,20,956,3,2.25,1.333333333,956,2.26,0.28,1.32,35.71,21.429,1
B. Bodin,Reading,Reading,"RWF, AMF, LWF",32,150000,2026-06-30,19,943,4,2.21,1.809954751,943,2.86,0.38,2.39,36,16,1
K. Dowell,Birmingham City,Birmingham City,"RAMF, AMF",27,1500000,2026-05-31,11,937,3,3.14,0.955414013,937,2.31,0.1,2.11,40.91,13.636,0
L. McCormick,Forest Green Rovers,Bristol Rovers,"AMF, DMF",26,150000,2025-06-30,19,934,2,1.69,1.183431953,934,1.35,0.19,1.35,28.57,14.286,1
O. Bailey,Stockport County,Stockport County,"LCMF, LWF, AMF",25,350000,2026-06-30,25,929,2,1.66,1.204819277,929,3.36,0.2,1.38,50,14.286,1
B. Fox,Harrogate Town,Northampton Town,"RCMF, AMF, RDMF",27,125000,2025-06-30,13,890,0,0.60,0,890,0.71,0,0.51,60,0,0
B. Njoku,Cambridge United,Cambridge United,"CF, LWF, RWF",20,0,2025-06-30,23,887,1,1.47,0.680272109,887,0.91,0.1,0.81,37.5,12.5,0
J. Hugill,Rotherham United,Rotherham United,"CF, RWF",32,400000,2026-06-30,24,882,1,1.86,0.537634409,882,1.33,0.1,1.84,27.78,5.556,0
K. Abrefa,Reading,Reading,"LB, RB, RWF",21,150000,2026-06-30,21,838,0,0.25,0,838,2.9,0,0.43,25,0,0
A. Abdulai,Leyton Orient,Leyton Orient,"LAMF, AMF, CF",22,200000,2026-06-30,13,824,3,1.00,3,824,2.62,0.33,1.2,54.55,27.273,1
C. Vickers,Mansfield Town,Mansfield Town,"CF, LW, AMF",20,175000,2027-06-30,10,816,1,1.86,0.537634409,816,4.52,0.11,1.65,20,6.667,0
L. Harris,Birmingham City,Birmingham City,"AMF, RAMF, LAMF",19,1000000,2026-06-30,20,793,2,0.62,3.225806452,793,1.48,0.23,0.68,66.67,33.333,1
C. Johnston,Peterborough United,Peterborough United,"RB, RWB",22,225000,2026-06-30,11,786,0,0.08,0,786,0.34,0,0.23,0,0,0
J. Senior,Bristol Rovers,Bristol Rovers,"RWB, RB",25,200000,2026-06-30,16,771,0,0.14,0,771,1.17,0,0.23,50,0,0
J. Cooper-Love,Burton Albion,Burton Albion,"AMF, CF, LWF",23,500000,2027-06-30,14,770,2,0.87,2.298850575,770,1.64,0.23,1.05,33.33,22.222,1
A. Green,Rotherham United,Rotherham United,"CF, AMF",26,500000,2025-06-30,13,754,3,2.48,1.209677419,754,2.51,0.36,1.31,45.45,27.273,1
K. Lolos,Bolton Wanderers,Bolton Wanderers,"AMF, RCMF, LCMF",24,0,,19,740,2,2.98,0.67114094,740,2.43,0.24,1.95,25,12.5,0
D. O'Brien-Brady,Peterborough United U21,Peterborough United,"RDMF, LDMF, AMF",21,0,,16,739,1,0.14,7.142857143,739,1.46,0.12,0.61,40,20,1
J. Rodriguez,Wrexham,Wrexham,"CF, AMF",35,1000000,2025-06-30,10,729,1,2.80,0.357142857,729,1.36,0.12,1.6,69.23,7.692,0
L. Sibley,Rotherham United,Rotherham United,"AMF, LCMF, RCMF",23,1600000,,12,718,2,1.11,1.801801802,718,1.38,0.25,1.25,30,20,1
M. Olakigbe,Chesterfield,Wigan Athletic,"LW, RW, LAMF",20,600000,2028-06-30,13,707,0,1.37,0,707,5.73,0,1.65,30.77,0,0
N. Akoto,Burton Albion,Burton Albion,"RWB, RB",26,0,2027-06-30,14,704,0,0.25,0,704,2.68,0,0.64,40,0,0
D. Barton,Cambridge United,Cambridge United,"LWB, AMF, RWB",20,0,2025-06-30,16,689,0,0.52,0,689,3.13,0,0.65,20,0,0
A. MacDonald,Rotherham United,Rotherham United,"RCMF, RAMF, AMF",34,100000,2025-06-30,15,685,1,0.09,11.11111111,685,3.02,0.13,0.53,25,25,1
D. Jaiyesimi,Leyton Orient,Leyton Orient,"LAMF, RAMF",26,225000,2026-06-30,23,659,1,1.22,0.819672131,659,1.78,0.14,1.09,25,12.5,0
D. Ward,Huddersfield Town,Huddersfield Town,"CF, RWF",34,300000,2025-06-30,13,648,0,1.28,0,648,1.53,0,1.53,27.27,0,0
J. Fevrier,Stockport County,Stockport County,"RAMF, RWF, RWB",21,300000,2027-06-30,17,642,1,1.39,0.71942446,642,4.25,0.15,2.35,43.75,6.25,0
J. Colwill,Exeter City,Exeter City,"LCMF, AMF, LWB",20,0,2028-06-30,11,641,0,0.46,0,641,1.26,0,0.98,0,0,0
T. O''Reilly,Milton Keynes Dons,Shrewsbury Town,"AMF, CF, RW",21,0,,12,625,0,0.52,0,625,5.04,0,1.58,27.27,0,0
E. Ring,Lincoln City,Lincoln City,"RWB, LWB, RAMF",22,400000,2028-06-30,18,619,1,1.19,0.840336134,619,3.34,0.15,1.31,55.56,11.111,0
R. Longman,Wrexham,Wrexham,"RW, RWB, RB",24,2000000,2025-06-30,11,615,0,0.22,0,615,6.29,0,0.73,0,0,0
A. Campbell,Dundee United,Charlton Athletic,"AMF, LCMF, CF",26,2000000,2025-05-31,12,608,0,0.29,0,608,0.89,0,0.89,0,0,0
D. Markanday,Leyton Orient,Leyton Orient,"RAMF, LAMF, AMF",23,400000,2025-06-30,10,603,2,1.59,1.257861635,603,3.28,0.3,1.34,55.56,22.222,1
R. Cole,Exeter City,Exeter City,"RCMF, AMF",27,225000,2026-06-30,14,578,1,0.93,1.075268817,578,2.34,0.16,2.34,33.33,6.667,1
K. Dempsey,Bolton Wanderers,Bolton Wanderers,"RCMF, RWF",29,600000,2026-06-30,10,575,3,2.02,1.485148515,575,2.19,0.47,2.5,25,18.75,1
E. Embleton,Carlisle United,Blackpool,"LW, AMF",25,900000,2026-06-30,15,551,0,0.48,0,551,3.43,0,2.12,7.69,0,0
C. Sagoe Jr,Arsenal U21,Shrewsbury Town,"LAMF, LW, RAMF",20,600000,2025-05-31,13,545,0,0.15,0,545,4.29,0,0.83,40,0,0
T. Chirewa,Huddersfield Town,Huddersfield Town,"LW, AMF, LAMF",21,0,2025-05-31,9,516,0,0.43,0,516,4.88,0,2.27,0,0,0
S. Wright,Birmingham City,Birmingham City,"RAMF, LWB",27,1200000,2027-06-30,13,511,1,1.18,0.847457627,511,3.17,0.18,2.11,16.67,8.333,0
C. McManaman,Wigan Athletic,Wigan Athletic,"RW, LW, LAMF",33,100000,2025-06-30,18,509,1,0.36,2.777777778,509,3.89,0.18,0.88,20,20,1
J. Mingi,Stockport County,Stockport County,"RB, RW, RCB",24,175000,2027-06-30,8,502,0,0.59,0,502,1.43,0,0.36,0,0,0
S. Malone,Cambridge United,Cambridge United,"LB, RWB",33,150000,2025-06-30,6,497,0,0.18,0,497,0.72,0,0.72,0,0,0
A. Akande,Reading U21,Reading,RWF,21,0,2025-06-30,13,491,0,0.20,0,491,3.12,0,0.73,25,0,0
J. Benson,Barnsley,Barnsley,"RCMF, RWB, LCMF",25,250000,2025-06-30,13,479,1,0.55,1.818181818,479,1.32,0.19,1.5,50,12.5,1
P. Jones,Exeter City,Exeter City,"RWB, LWB, LCMF",21,0,,14,446,0,0.10,0,446,4.44,0,0.85,25,0,0
G. Kodua,Wycombe Wanderers,Wycombe Wanderers,"RB, RW, RAMF",20,0,,17,429,2,0.33,6.060606061,429,2.52,0.42,0.84,50,50,1
S. Cox,Exeter City,Exeter City,"CF, AMF",20,0,2026-06-30,15,409,1,0.37,2.702702703,409,1.66,0.24,0.71,66.67,33.333,1
K. Shaw,Bristol Rovers,Bristol Rovers,"AMF, RCMF, DMF",18,0,,7,403,0,0.48,0,403,1.34,0,0.89,50,0,0
J. Holmes,Rotherham United,Rotherham United,"RCMF, RAMF, RW",23,0,,20,391,0,0.74,0,391,3.45,0,1.15,20,0,0
D. Wheeler,Shrewsbury Town,Shrewsbury Town,"RAMF, CF, RW",34,100000,2025-06-30,10,387,0,0.80,0,387,1.4,0,1.63,28.57,0,0
L. Fiorini,Dundee United,Stockport County,"AMF, CF",22,1300000,2027-06-30,11,365,0,0.21,0,365,1.48,0,0.99,25,0,0
S. Arfield,Bolton Wanderers,Bolton Wanderers,"RCMF, LWF, AMF",36,250000,2025-06-30,12,364,0,0.84,0,364,1.24,0,1.24,40,0,0
S. Silvera,Blackpool,Blackpool,"LW, RW",24,1200000,2026-06-30,10,330,1,0.47,2.127659574,330,3,0.27,2.18,12.5,12.5,1
J. Roles,Crawley Town,Crawley Town,"AMF, LWF, RCMF",25,125000,2026-06-30,14,316,0,0.17,0,316,2.28,0,1.14,25,0,0
T. Watson,Charlton Athletic,Charlton Athletic,"RAMF, RWB, LDMF",28,250000,2025-06-30,9,313,0,0.00,0,313,2.59,0,0,0,0,0
L. Watson,Crawley Town,Crawley Town,"RCMF, AMF",23,250000,,6,301,0,0.23,0,301,1.79,0,0.6,50,0,0
Fábio Jaló,Barnsley,Barnsley,"RW, CF, RWB",19,0,2027-06-30,10,278,0,0.45,0,278,8.74,0,2.27,57.14,0,0
G. Holohan,Crawley Town,Crawley Town,"RCMF, AMF, CF",33,100000,2026-06-30,14,263,0,0.52,0,263,1.03,0,1.03,0,0,0
K. Edwards,Stevenage,Stevenage,"LAMF, RAMF",27,200000,2025-06-30,6,251,0,0.14,0,251,5.38,0,1.43,0,0,0
A. Yokoyama,Birmingham City,Birmingham City,"LAMF, RAMF",21,600000,2027-06-30,10,246,0,0.39,0,246,7.68,0,2.56,42.86,0,0
