Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Unnamed: 115,Fullback Attacking AFB,Attacking Label,LDA1
J. Gibbons,Cambridge United,Cambridge United,"RWB, LWB, RB",27.0,150000,2026-06-30,21,1442,1,0.8,0,0.1,15.17,55.56,England,England,right,175,62,no,9.8,7.05,63.72,4.06,53.85,0.25,0.31,0.37,5.06,6.34,1.0,5,0.31,1,0.06,0.87,0.06,1,0.06,0.05,0,0.0,10,0.62,30.0,10.0,0.0,1.19,31.58,0.75,41.67,0.37,16.67,0.0,0.56,55.56,2.31,48.65,0.81,0.56,0.12,16.23,0.31,0.87,27.52,68.03,13.48,54.17,4.68,94.67,5.93,72.63,20.72,78.31,5.68,38.46,21.76,36.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,5.06,46.91,1.69,25.93,0.06,0.0,0.25,0.31,7.18,56.52,0,,0,,0,0,0,0.0,,,1.06,,,0.25,0.0,0.0,0.0,0,0.0,,9.44,0,-1.3017494879477869
K. Abrefa,Reading,Reading,"LB, RB, RWF",21.0,150000,2026-06-30,21,838,0,0.25,0,0.28,24.06,45.98,Ghana,"Ghana, England",right,176,69,no,8.91,6.55,68.85,5.05,23.4,0.43,0.69,0.11,3.97,6.38,0.97,1,0.11,0,0.0,2.9,0.0,0,0.0,0.03,0,0.0,4,0.43,25.0,0.0,0.0,2.26,28.57,0.75,28.57,1.5,28.57,0.21,3.11,68.97,9.77,45.05,0.43,2.68,0.0,24.16,0.64,1.4,36.19,82.2,14.5,74.81,7.41,94.2,9.24,82.56,30.39,89.4,3.65,55.88,18.43,25.81,0.03,0.11,0.0,0.0,0.11,0.0,0.11,4.3,77.5,1.83,35.29,0.11,0.0,0.11,0.75,7.73,66.67,0,,0,,0,0,0,0.0,,,0.86,,,0.0,0.0,0.0,0.0,0,0.0,,12.27,1,-1.0649226321575862
H. Forster,Crawley Town,Crawley Town,"LWB, RW, RWB",24.0,100000,2025-06-30,24,1568,2,1.26,2,1.56,21.64,46.15,England,England,right,176,71,no,9.87,7.4,65.89,3.5,18.03,0.8,1.23,0.06,4.19,6.4,1.15,3,0.17,0,0.0,2.58,0.11,2,0.11,0.07,0,0.0,17,0.98,23.53,11.765,0.11,2.12,18.92,1.43,16.0,0.69,25.0,0.17,4.02,48.57,7.58,40.91,1.49,2.24,0.69,19.23,1.84,1.72,27.67,75.93,8.95,60.9,7.46,98.46,6.54,71.05,23.42,84.56,2.12,37.84,18.22,26.97,0.09,0.57,0.0,0.06,0.06,0.0,0.4,2.12,56.76,2.47,32.56,0.17,33.33,0.75,0.4,5.34,55.91,0,,0,,0,0,0,0.0,,,0.69,,,0.63,0.06,100.0,0.98,0,0.0,,10.14,0,-0.20111906922672615
J. Hunt,Bristol Rovers,Bristol Rovers,"RB, RWB",34.0,100000,2025-06-30,14,1091,0,0.51,0,1.46,20.71,52.59,England,England,right,175,71,no,7.67,6.35,59.74,3.38,60.98,0.08,0.11,0.66,3.79,5.11,0.66,2,0.16,0,0.0,3.46,0.0,0,0.0,0.04,0,0.0,5,0.41,40.0,0.0,0.0,3.63,36.36,0.0,0.0,3.63,36.36,0.33,3.96,50.0,8.17,43.43,0.82,2.39,0.16,25.74,1.65,1.48,36.71,70.11,17.98,66.06,3.63,95.45,9.73,71.19,25.66,81.67,7.59,46.74,23.63,40.57,0.12,0.91,0.0,0.0,0.0,0.0,0.25,7.51,63.74,3.79,52.17,0.49,33.33,0.58,1.24,11.8,78.32,0,,0,,0,0,0,0.0,,,0.41,,,0.16,0.0,0.0,0.0,0,0.0,,18.1,1,1.1520276224667743
L. Akins,Mansfield Town,Mansfield Town,"CF, RWB, RW",36.0,75000,2025-06-30,28,2290,2,4.58,2,1.81,27.55,37.8,England,"England, Grenada",right,185,79,no,7.27,5.19,68.18,7.15,46.15,0.12,0.16,0.08,3.62,4.93,1.18,2,0.08,0,0.0,2.12,0.08,2,0.08,0.18,1,0.04,26,1.02,26.92,7.692,0.08,1.89,41.67,0.12,0.0,1.77,44.44,0.12,2.12,50.0,10.45,24.81,3.03,0.98,0.16,17.76,2.48,1.06,28.49,79.72,7.27,57.3,7.74,94.92,7.43,82.01,24.84,85.28,1.93,44.9,16.51,27.06,0.07,0.67,0.04,0.0,0.04,0.0,0.31,2.32,57.63,1.45,48.65,0.12,33.33,0.63,0.63,3.77,70.83,0,,0,,0,0,0,0.0,,,0.24,,,0.0,0.0,0.0,0.0,1,0.0,,6.27,0,0.17156007120262926
K. Lofthouse,Burton Albion,Burton Albion,"RWB, LW, RB",24.0,50000,2026-06-30,26,1122,0,0.86,0,1.25,22.78,43.31,England,England,right,180,65,yes,7.78,6.18,61.04,5.7,36.62,0.4,0.57,0.24,3.61,5.17,1.6,4,0.32,0,0.0,2.81,0.0,0,0.0,0.07,0,0.0,7,0.56,28.57,0.0,0.0,2.33,37.93,1.28,37.5,1.04,38.46,0.24,3.69,47.83,8.18,42.16,2.73,2.25,0.72,9.71,1.04,1.6,18.45,66.09,5.45,54.41,4.81,96.67,4.25,66.04,14.36,75.42,1.84,26.09,21.39,12.85,0.1,0.88,0.0,0.0,0.08,0.0,0.56,1.76,68.18,1.04,61.54,0.08,0.0,0.32,0.88,3.53,52.27,0,,0,,0,0,0,0.0,,,0.16,,,0.0,0.0,0.0,0.0,0,0.0,,6.92,0,0.16616912896302968
J. Laqeretabua,Charlton Athletic U21,Charlton Athletic,"RWB, CF",19.0,0,,2,25,0,0.0,0,0.0,,,Fiji,"Fiji, England",right,185,77,no,,,,,,,0.0,,,15.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91,23.08,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0.0,,0.0,0,-1.71063993979649
N. Akoto,Burton Albion,Burton Albion,"RWB, RB",26.0,0,2027-06-30,14,704,0,0.25,0,0.98,26.34,44.17,England,England,unknown,188,0,no,9.46,9.2,52.78,8.18,40.63,0.51,0.71,0.13,4.09,5.65,1.41,1,0.13,0,0.0,2.68,0.0,0,0.0,0.03,0,0.0,5,0.64,40.0,0.0,0.0,2.3,44.44,0.0,0.0,2.3,44.44,0.38,2.17,64.71,6.39,40.0,1.28,1.79,0.13,19.05,2.68,1.53,29.66,68.53,10.1,56.96,5.5,93.02,7.03,65.45,25.7,73.63,1.66,23.08,15.52,14.69,0.13,1.02,0.13,0.26,0.0,0.0,0.38,3.58,60.71,2.56,45.0,0.0,0.0,0.38,1.15,7.29,47.37,0,,0,,0,0,0,0.0,,,0.26,,,0.0,0.0,0.0,0.0,0,0.0,,11.77,0,-1.2626397604178623
A. Ahmed,Reading U18,Reading,"RB, RWF",17.0,0,,5,85,0,0.0,0,0.26,31.76,50.0,England,England,right,0,0,no,10.59,12.71,66.67,10.59,50.0,0.0,0.0,0.0,2.12,4.29,4.24,1,1.06,0,0.0,3.18,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.18,66.67,0.0,0.0,3.18,66.67,0.0,1.06,100.0,7.41,14.29,3.18,1.06,0.0,18.0,0.0,1.06,27.53,57.69,8.47,12.5,8.47,87.5,5.29,80.0,21.18,65.0,3.18,0.0,18.66,12.07,0.27,2.12,0.0,0.0,0.0,0.0,2.12,3.18,33.33,1.06,0.0,1.06,0.0,1.06,1.06,3.18,33.33,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,5.57,0,-0.9929432417626938
M. Southam-Hales,Stockport County,Stockport County,"RWB, RB",29.0,0,,17,1325,3,0.65,0,1.86,14.78,48.56,Wales,Wales,right,175,69,no,8.52,5.04,61.97,3.76,43.4,0.28,0.38,0.28,5.11,6.79,0.78,3,0.2,0,0.0,2.63,0.2,3,0.21,0.05,2,0.14,8,0.57,37.5,37.5,0.0,3.27,43.48,0.07,100.0,3.2,42.22,0.36,1.42,60.0,3.69,46.15,1.56,0.85,0.36,19.61,1.56,0.99,30.54,71.86,10.58,53.69,7.46,96.19,7.96,72.32,22.66,83.39,4.9,37.68,21.51,40.92,0.13,0.71,0.0,0.0,0.14,100.0,0.5,4.4,48.39,2.84,47.5,0.57,62.5,0.5,1.28,6.61,61.29,0,,0,,0,0,0,0.0,,,0.85,,,0.07,0.0,0.0,0.07,0,0.0,,10.43,0,-0.5015676994035904
J. Colwill,Exeter City,Exeter City,"LCMF, AMF, LWB",20.0,0,2028-06-30,11,641,0,0.46,0,0.03,21.76,44.52,Wales,Wales,right,178,0,yes,6.74,6.04,65.12,5.62,40.0,0.14,0.23,0.14,2.67,4.32,1.4,1,0.14,0,0.0,1.26,0.0,0,0.0,0.06,0,0.0,7,0.98,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,2.11,53.33,7.72,36.36,1.54,1.4,0.28,20.08,0.84,2.11,29.91,77.93,9.83,60.0,7.44,98.11,6.18,88.64,27.8,81.82,1.97,28.57,15.17,18.17,0.0,0.42,0.0,0.0,0.28,50.0,0.28,3.65,65.38,0.7,40.0,0.28,50.0,0.42,0.0,4.49,59.38,0,,0,,0,0,0,0.0,,,0.14,,,0.0,0.0,0.0,0.14,0,0.0,,6.59,0,-1.4097260891209429
D. Barton,Cambridge United,Cambridge United,"LWB, AMF, RWB",20.0,0,2025-06-30,16,689,0,0.52,0,0.4,26.26,46.77,England,England,,0,0,no,8.36,8.62,54.55,2.48,31.58,0.0,0.0,0.13,3.66,4.47,0.65,0,0.0,0,0.0,3.13,0.0,0,0.0,0.07,0,0.0,5,0.65,20.0,0.0,0.0,2.61,5.0,0.78,16.67,1.83,0.0,0.26,4.44,64.71,12.41,48.42,2.22,2.09,0.39,13.58,0.91,2.48,22.6,67.05,6.01,67.39,3.92,90.0,7.45,63.16,19.07,76.03,0.91,57.14,16.54,10.57,0.05,0.78,0.0,0.0,0.13,0.0,0.26,1.83,57.14,2.35,27.78,0.13,0.0,0.78,0.26,3.4,46.15,0,,0,,0,0,0,0.0,,,0.52,,,0.0,0.0,0.0,0.13,0,0.0,,7.89,0,-1.0313194185973074
B. Spencer,Huddersfield Town,Huddersfield Town,"LCB, RWB, RCB",20.0,0,2026-06-30,30,2533,3,2.06,2,1.8,22.74,55.47,Northern Ireland,Northern Ireland,right,180,74,no,11.37,7.75,70.64,7.35,53.14,0.75,1.1,0.39,5.15,7.6,0.89,11,0.39,0,0.0,1.81,0.11,3,0.11,0.07,2,0.07,15,0.53,40.0,20.0,0.07,1.67,36.17,0.36,60.0,1.31,29.73,0.28,1.85,53.85,5.08,42.66,0.96,1.35,0.14,27.36,0.92,1.03,41.32,80.31,16.63,70.3,4.94,90.65,14.57,87.8,35.46,85.67,4.19,52.54,19.13,34.7,0.06,0.57,0.0,0.0,0.0,0.0,0.39,4.9,58.7,1.92,38.89,0.18,20.0,0.36,0.6,7.25,64.71,0,,0,,0,0,0,0.0,,,1.6,,,0.0,0.0,0.0,0.04,0,0.0,,10.58,0,-0.2562096745022236
P. Jones,Exeter City,Exeter City,"RWB, LWB, LCMF",21.0,0,,14,446,0,0.1,0,0.6,24.51,57.76,England,"England, Wales",right,180,71,no,6.76,5.28,84.0,1.9,11.11,0.21,0.38,0.0,2.11,3.85,0.63,1,0.2,0,0.0,4.44,0.0,0,0.0,0.02,0,0.0,4,0.85,25.0,0.0,0.0,3.8,22.22,0.63,66.67,3.17,13.33,0.0,5.28,64.0,12.89,55.74,1.27,2.75,0.21,13.1,0.63,2.96,19.44,68.48,3.59,52.94,5.92,96.43,5.92,64.29,14.37,83.82,1.27,33.33,20.08,12.72,0.13,1.06,0.0,0.0,0.0,0.0,0.63,1.27,50.0,2.11,50.0,0.42,50.0,0.42,0.85,3.17,66.67,0,,0,,0,0,0,0.0,,,0.21,,,0.0,0.0,0.0,0.0,0,0.0,,8.16,0,-0.030110252966882217
A. Adeyemo,Crawley Town,Crawley Town,"LWB, RW, CF",26.0,0,2026-06-30,28,1272,4,2.06,0,0.42,25.97,43.05,England,"England, Nigeria",,0,0,no,11.25,8.92,58.73,3.82,46.3,0.71,1.12,0.07,5.31,8.43,0.64,2,0.14,0,0.0,4.03,0.28,4,0.28,0.15,0,0.0,19,1.34,42.11,21.053,0.0,2.48,34.29,1.49,38.1,0.99,28.57,0.21,5.59,45.57,10.75,30.26,2.69,2.26,0.21,22.5,1.63,0.5,33.61,76.84,8.42,68.07,7.57,92.52,10.19,77.78,28.94,83.62,2.19,35.48,16.44,19.01,0.03,0.5,0.0,0.0,0.14,50.0,0.21,1.56,59.09,3.25,45.65,0.28,25.0,0.92,0.85,5.73,61.73,0,,0,,0,0,0,0.0,,,0.21,,,0.0,0.0,0.0,0.0,0,0.0,,11.270000000000001,0,0.5379134966161464
G. Kodua,Wycombe Wanderers,Wycombe Wanderers,"RB, RW, RAMF",20.0,0,,17,429,2,0.33,0,0.13,22.66,38.89,England,England,right,0,0,yes,7.76,7.34,51.43,4.83,26.09,0.0,0.0,0.21,3.99,6.95,1.47,1,0.21,0,0.0,2.52,0.42,2,0.42,0.07,0,0.0,4,0.84,50.0,50.0,0.0,2.1,30.0,0.21,100.0,1.89,22.22,0.42,3.15,46.67,7.55,38.89,2.73,2.73,0.63,18.88,2.1,1.26,24.76,70.34,8.39,57.5,6.08,93.1,5.45,88.46,20.98,77.0,1.89,44.44,19.21,8.89,0.03,0.42,0.0,0.0,0.0,0.0,0.0,1.26,50.0,1.89,55.56,0.0,0.0,0.84,0.42,5.66,59.26,0,,0,,0,0,0,0.0,,,0.42,,,0.0,0.0,0.0,0.0,0,0.0,,10.31,0,0.1055435739364889
G. Hoddle,Cambridge United,Cambridge United,"AMF, LWB",,0,,2,24,0,0.0,0,0.0,,,England,England,unknown,0,0,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.58,31.93,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0.0,,0.0,0,-1.71063993979649
J. Bland,Barnsley,Barnsley,"RWB, RCB",19.0,0,2026-06-30,1,79,0,0.0,0,0.01,23.92,61.9,Wales,Wales,unknown,0,0,no,9.11,4.56,75.0,5.7,80.0,0.0,0.0,0.0,5.7,13.64,1.14,0,0.0,0,0.0,1.14,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,3.42,0.0,0.0,2.28,50.0,10.25,44.44,2.28,3.42,0.0,52.41,4.56,1.14,71.77,85.71,19.37,70.59,17.09,100.0,22.78,85.0,63.8,96.43,4.56,0.0,17.86,35.96,0.01,1.14,0.0,1.14,0.0,0.0,1.14,9.11,62.5,3.42,33.33,0.0,0.0,1.14,0.0,15.95,78.57,0,,0,,0,0,0,0.0,,,2.28,,,0.0,0.0,0.0,0.0,0,0.0,,22.799999999999997,1,3.209691256650475
Fábio Jaló,Barnsley,Barnsley,"RW, CF, RWB",19.0,0,2027-06-30,10,278,0,0.45,1,0.29,25.58,40.51,Portugal,Portugal,left,0,0,no,1.29,2.59,37.5,2.91,22.22,0.0,0.0,0.0,0.32,0.73,0.65,3,0.97,0,0.0,8.74,0.0,0,0.0,0.15,0,0.0,7,2.27,57.14,0.0,0.32,6.47,20.0,1.94,16.67,4.21,23.08,0.97,11.65,52.78,17.48,44.44,5.5,4.53,0.0,17.16,2.27,2.59,20.4,52.38,1.29,0.0,3.56,81.82,7.12,59.09,11.98,72.97,2.27,28.57,19.5,19.99,0.1,1.62,0.0,0.0,0.0,0.0,0.32,0.32,0.0,2.59,50.0,0.32,0.0,0.32,0.97,3.56,63.64,0,,0,,0,0,0,0.0,,,0.32,,,0.0,0.0,0.0,1.29,0,0.0,,10.780000000000001,0,0.6227174725941037
T. Kalinauskas,Burton Albion,Burton Albion,"LAMF, AMF, LWB",24.0,0,2027-06-30,33,1921,1,1.84,3,1.94,25.81,42.65,Lithuania,Lithuania,right,178,71,no,8.9,8.39,59.78,4.83,33.01,0.19,0.24,0.05,3.7,4.67,1.08,4,0.19,0,0.0,4.03,0.05,1,0.05,0.09,0,0.0,25,1.17,44.0,4.0,0.14,2.58,34.55,1.97,38.1,0.61,23.08,0.42,4.92,52.38,10.12,38.43,1.59,1.97,0.66,16.44,1.45,1.31,25.67,68.8,8.53,59.34,6.56,87.86,5.72,60.66,21.27,75.99,2.01,37.21,16.92,24.99,0.09,0.75,0.0,0.0,0.14,33.33,0.47,2.44,63.46,2.62,50.0,0.33,28.57,0.66,0.75,4.92,57.14,0,,0,,0,0,0,0.0,,,0.33,,,0.09,0.0,0.0,0.84,0,0.0,,9.6,0,-0.17881434628225076
Junior Quitirna,Crawley Town,Crawley Town,"RWB, RWF",24.0,0,,27,1621,6,5.24,0,1.39,24.15,42.3,Guinea-Bissau,"Guinea-Bissau, England",left,170,64,no,5.61,5.16,56.99,2.33,16.67,0.06,0.09,0.11,2.61,4.22,0.5,3,0.17,0,0.0,4.72,0.33,5,0.28,0.29,0,0.0,44,2.44,36.36,13.636,0.0,1.5,18.52,0.22,25.0,1.17,14.29,0.28,6.27,56.64,13.94,43.43,2.67,3.33,0.28,18.21,1.11,2.33,25.15,83.22,5.55,78.0,7.83,94.33,6.88,79.03,23.04,87.95,0.61,63.64,16.07,8.38,0.08,1.11,0.06,0.06,0.17,0.0,0.06,1.28,73.91,2.28,56.1,0.17,0.0,1.33,0.33,3.16,77.19,0,,0,,0,0,0,0.0,,,0.22,,,0.67,0.22,0.0,2.11,1,100.0,,8.85,0,0.775546899091997
T. Campbell,Charlton Athletic,Charlton Athletic,"CF, LAMF, RWB",21.0,0,2026-06-30,37,2963,3,4.49,0,4.88,28.01,35.47,England,"England, Jamaica",right,172,65,no,4.07,4.16,59.85,2.86,12.77,0.09,0.14,0.0,1.49,2.23,0.97,2,0.06,0,0.0,5.07,0.09,3,0.09,0.14,0,0.0,46,1.4,34.78,6.522,0.0,3.4,25.89,2.34,27.27,1.03,23.53,0.82,6.26,57.28,16.74,36.12,3.89,3.46,0.58,13.94,1.58,1.76,21.93,73.55,4.37,59.72,7.32,93.78,5.44,65.36,18.07,83.53,0.61,35.0,16.42,14.1,0.15,1.09,0.0,0.03,0.24,50.0,0.73,1.34,65.91,2.55,47.62,0.15,60.0,1.12,0.91,2.67,72.73,0,,0,,0,0,0,0.0,,,0.18,,,0.0,0.0,0.0,0.0,0,0.0,,8.829999999999998,0,1.1122695920872483
C. Hayes,Peterborough United,Peterborough United,"RAMF, LWB",21.0,0,2027-06-30,29,1596,3,2.24,2,2.36,27.86,46.36,England,"England, Republic of Ireland",left,170,73,no,7.61,7.67,58.09,1.69,16.67,0.23,0.33,0.06,2.93,4.35,0.96,0,0.0,0,0.0,6.03,0.17,3,0.17,0.13,0,0.0,24,1.35,33.33,12.5,0.11,2.42,23.26,0.9,18.75,1.47,26.92,0.51,8.01,59.86,16.3,44.64,2.93,4.74,0.9,19.0,1.02,1.92,26.39,73.5,5.81,60.19,7.05,88.8,9.02,75.0,22.89,80.3,1.18,42.86,20.08,17.45,0.13,1.13,0.17,0.06,0.34,66.67,0.56,2.26,50.0,2.31,48.78,0.34,50.0,1.18,0.56,4.06,70.83,0,,0,,0,0,0,0.0,,,0.11,,,0.0,0.0,0.0,0.51,0,0.0,,11.24,0,0.3092008929222819
