Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Unnamed: 115,Fullback Attacking AFB,Attacking Label,LDA1
B. Khela,Birmingham City,Birmingham City,"AMF, RB",19.0,200000,2027-06-30,2,31,0,0.0,0,0.0,,,England,England,,0,0,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0.0,,0.0,0,-1.71063993979649
A. Odimayo,Northampton Town,Northampton Town,"RB, RWB, RCB",25.0,200000,,33,2496,0,0.01,0,0.57,16.26,55.65,England,"England, Nigeria",right,183,75,no,7.72,5.88,73.62,4.83,50.75,0.14,0.18,0.36,3.25,4.12,0.69,3,0.11,1,0.04,0.65,0.0,0,0.0,0.0,0,0.0,2,0.07,0.0,0.0,0.0,0.94,38.46,0.0,0.0,0.94,38.46,0.11,0.76,38.1,2.99,40.96,0.14,0.32,0.07,14.03,0.43,0.69,23.69,74.12,10.78,61.87,4.22,95.73,5.12,78.87,18.68,82.63,4.18,43.1,19.0,32.29,0.02,0.18,0.0,0.0,0.0,0.0,0.0,3.68,57.84,1.23,47.06,0.04,100.0,0.14,0.4,6.02,56.29,0,,0,,0,0,0,0.0,,,0.69,,,0.0,0.0,0.0,0.0,0,0.0,,7.59,0,-1.6065820478296609
C. Watts,Exeter City,Exeter City,"AMF, RWF, RWB",23.0,200000,,23,1200,2,3.27,1,1.2,25.0,44.76,England,"England, Australia",right,173,73,no,7.78,6.9,56.32,2.46,22.58,1.03,1.55,0.16,2.86,4.3,1.83,8,0.6,1,0.08,3.41,0.15,2,0.16,0.26,1,0.08,20,1.59,40.0,10.0,0.08,1.59,20.0,0.71,33.33,0.87,9.09,0.24,4.37,54.55,11.51,42.07,2.06,1.75,0.4,17.86,0.71,2.22,27.54,73.49,8.89,51.79,5.0,93.65,8.02,82.18,23.17,82.53,2.78,28.57,19.18,24.85,0.1,0.71,0.0,0.08,0.32,25.0,0.4,4.44,57.14,3.17,35.0,0.87,36.36,0.95,0.4,4.92,58.06,0,,0,,0,0,0,0.0,,,0.32,,,0.0,0.0,0.0,0.0,0,0.0,,9.94,0,-0.5143162259623439
J. Senior,Bristol Rovers,Bristol Rovers,"RWB, RB",25.0,200000,2026-06-30,16,771,0,0.14,0,0.38,14.94,55.47,England,England,right,181,70,no,7.94,6.89,71.19,2.33,65.0,0.23,0.35,0.35,2.8,4.24,0.47,1,0.12,0,0.0,1.17,0.0,0,0.0,0.02,0,0.0,2,0.23,50.0,0.0,0.0,1.98,23.53,0.0,0.0,1.98,23.53,0.47,1.63,35.71,3.5,30.0,0.35,1.28,0.35,21.95,0.7,0.58,29.07,67.87,12.84,57.27,4.55,87.18,7.94,75.0,21.25,82.97,6.07,26.92,21.29,30.47,0.04,0.23,0.12,0.0,0.0,0.0,0.23,3.97,50.0,1.75,26.67,0.23,50.0,0.12,0.47,6.07,57.69,0,,0,,0,0,0,0.0,,,0.12,,,0.0,0.0,0.0,0.0,0,0.0,,9.14,0,-0.17801090192605515
L. Hoole,Shrewsbury Town,Shrewsbury Town,"RB, RWB",22.0,200000,2026-06-30,30,2876,1,0.95,0,0.87,18.31,55.04,England,England,right,178,64,no,12.05,9.14,65.41,3.85,53.66,0.72,0.92,0.28,5.35,6.8,1.16,6,0.19,0,0.0,1.28,0.03,1,0.03,0.03,0,0.0,13,0.41,15.38,7.692,0.0,1.63,26.92,0.0,0.0,1.63,26.92,0.31,1.47,51.06,2.97,41.05,1.0,1.0,0.13,14.08,1.03,0.47,25.75,64.76,12.8,57.46,3.66,88.89,5.32,70.0,19.5,74.48,4.69,36.67,20.43,36.2,0.03,0.34,0.0,0.0,0.03,100.0,0.16,4.73,50.99,1.38,31.82,0.22,14.29,0.31,0.44,6.88,61.82,0,,0,,0,0,0,0.0,,,0.59,,,0.0,0.0,0.0,0.0,0,0.0,,9.29,0,-0.5163980149871193
J. Mingi,Stockport County,Stockport County,"RB, RW, RCB",24.0,175000,2027-06-30,8,502,0,0.59,0,0.13,17.57,51.02,England,England,right,185,67,no,6.99,5.56,54.84,2.87,43.75,0.36,0.5,0.36,3.59,4.96,0.9,1,0.18,0,0.0,1.43,0.0,0,0.0,0.1,0,0.0,2,0.36,0.0,0.0,0.0,0.9,40.0,0.0,0.0,0.9,40.0,0.0,2.33,46.15,7.35,51.22,0.36,1.97,1.08,23.49,0.36,3.05,32.27,77.78,14.7,69.51,5.2,100.0,8.43,80.85,25.64,84.62,5.74,53.13,20.94,31.86,0.02,0.36,0.0,0.0,0.0,0.0,0.36,5.2,55.17,1.25,42.86,0.18,100.0,0.18,0.54,6.45,61.11,0,,0,,0,0,0,0.0,,,0.18,,,0.0,0.0,0.0,0.0,0,0.0,,9.69,0,-1.2645993283950834
K. Ramsay,Charlton Athletic,Charlton Athletic,"RB, RWB, RCB",24.0,175000,2027-06-30,24,2126,1,0.7,1,0.34,22.39,57.66,England,England,right,184,66,no,9.44,7.11,67.86,4.66,58.18,0.8,1.14,0.38,3.81,5.39,1.31,3,0.13,0,0.0,2.67,0.04,1,0.04,0.03,1,0.04,9,0.38,33.33,11.111,0.04,1.44,35.29,0.0,0.0,1.44,35.29,0.13,2.75,73.85,8.09,49.21,0.85,2.07,0.3,17.23,0.51,1.02,29.21,76.81,10.84,59.77,5.93,96.43,9.23,83.94,22.69,86.01,5.12,47.93,23.12,45.14,0.01,0.17,0.0,0.0,0.13,0.0,0.13,5.16,56.56,1.82,37.21,0.51,8.33,0.21,0.51,5.93,70.71,0,,0,,0,0,0,0.0,,,1.14,,,0.0,0.0,0.0,0.0,0,0.0,,9.83,0,-1.5671256232363255
R. Barnett,Wrexham,Wrexham,"RB, RWB, RW",25.0,175000,2027-06-30,34,2922,2,1.2,9,6.04,17.06,53.43,England,England,right,180,70,no,6.13,5.02,61.35,2.71,42.05,0.18,0.24,0.06,2.86,3.67,0.37,1,0.03,0,0.0,6.1,0.06,2,0.06,0.04,0,0.0,20,0.62,40.0,10.0,0.28,6.68,37.33,0.03,0.0,6.65,37.5,0.92,5.21,64.5,7.85,52.94,1.54,2.59,0.68,19.5,1.94,0.74,30.86,63.57,11.27,51.64,7.3,96.62,7.95,58.53,18.7,79.41,5.76,41.18,24.66,33.13,0.19,1.26,0.09,0.06,0.06,0.0,0.86,4.07,40.15,5.11,51.81,0.31,30.0,0.43,2.68,7.92,62.26,0,,0,,0,0,0,0.0,,,0.37,,,0.0,0.0,0.0,0.0,0,0.0,,15.809999999999999,1,0.8073312154163702
E. Hewitt,Mansfield Town,Mansfield Town,"RWB, RCB, RB",30.0,150000,2025-06-30,28,2262,0,1.41,2,1.62,18.98,56.18,Wales,Wales,right,186,75,no,8.71,7.52,64.55,5.45,59.85,0.32,0.4,0.04,3.54,4.4,1.15,5,0.2,0,0.0,2.39,0.0,0,0.0,0.06,0,0.0,13,0.52,0.0,0.0,0.08,4.06,37.25,0.0,0.0,4.06,37.25,0.52,1.67,52.38,3.18,43.75,1.31,1.83,0.64,23.08,1.59,0.56,33.34,71.72,12.69,63.01,4.93,94.35,10.82,78.68,24.51,81.66,5.01,50.0,21.71,36.2,0.06,0.72,0.04,0.0,0.0,0.0,0.4,5.13,53.49,2.98,50.67,0.32,37.5,0.48,1.47,8.44,73.58,0,,0,,0,0,0,0.0,,,1.51,,,0.04,0.0,0.0,0.0,0,0.0,,13.31,1,0.8734033929875837
S. Malone,Cambridge United,Cambridge United,"LB, RWB",33.0,150000,2025-06-30,6,497,0,0.18,0,0.41,15.03,50.6,England,England,left,189,75,no,8.15,7.97,65.91,3.26,33.33,0.0,0.0,0.18,2.9,3.33,1.63,2,0.36,0,0.0,0.72,0.0,0,0.0,0.03,0,0.0,4,0.72,0.0,0.0,0.0,0.91,40.0,0.91,40.0,0.0,0.0,0.18,0.36,50.0,1.81,30.0,0.54,0.18,0.0,19.92,0.72,0.0,29.52,74.23,11.23,66.13,7.06,92.31,7.42,73.17,24.08,82.71,4.53,36.0,20.6,34.62,0.07,0.72,0.0,0.0,0.54,33.33,0.18,3.98,54.55,2.72,46.67,0.72,50.0,0.91,0.36,6.34,65.71,0,,0,,0,0,0,0.0,,,2.54,,,0.54,0.0,0.0,0.0,0,0.0,,9.31,0,-0.39799936961633897
